کمي,scarcity
يک دنيا,a great deal of
يک مشت,a handful
آلاگارسن,a la garconne
اندکي,a while
کمکي,auxiliary
اندکي بعد,a little while later
بمقدار زياد,overmuch
کلي,general
مقدار زيادي,a lot of
بسياري,many
قشري از,a section of
چندي قبل,a while ago
مدتي بعد,a while later
ميلادي,A.D.
عبا,cloak
چرکه,abacus
چتکه,abacus
آبادان,flourishing
آبان,Aban
رهاساختن,release
دست کشيدن,stop
دل کندن,abandon
ترککردن,abandon
رها کردن,release
صرفنظر کردن,give up
واکهداردن,transfer
متروکه,abandoned place
متروک,isolated
ترک,turkish
رهاسازي,release
صرف نظر,apart from
دلکندن,abandonment
متارکه,separation
اباسلط,Abasalt
تحقير نمودن,belittle
کمارزش کردن,abase
فروکشي,subsided
فروکش,subsiding
اباذر,Abazar
مقام رهبانيت,abbacy
عباس,Abbas
عباس عبدي,Abbas Abdi
عباسآقا,Abbas Agha
عباسعلي,Abbas Ali
راهبي,abbatial
ديري,abbatial
خانقاهي,abbatial
خانقاه,monastery
مخفف کردن,abbreviate
اقتصار کردن,abbreviate
مختصر کردن,abbreviate
علامات اختصاري,symbol
علامت اقتصاري,abbreviation
يجاز,abbreviation
اختصار,summarization
کتاب الفبا,abc
مبدا کار,abc
عبدحسين,Abd Hoseyn
عبدعلي,Abdali
عبداعزيز حکيم,Abdelaziz Hakim
عبدي,Abdi
تفويض کردن,devolve
کنارهگيري,withdrawal
عبدالعلي,Abdul Ali
عبدالحسين,Abdol Hoseyn
عبدالجليل,Abdol Jalil
عبدالکريم,Abdol Karim
عبدالمجيد,Abdol Majid
عبدالملک,Abdolmalek
عبدالمحمد,Abdol Mohammad
عبدالرضا,Abdol Reza
عبدالسلام,Abdol Salam
عبدالواحد,Abdol Vahed
عبدالامير,Abdolamir
عبدالحميد,Abdolhamid
عبدالحسن,Abdolhasan
عبدالخالق,Abdolkhalegh
عبدالله,Abdullah
عبدالله گل,Abdollah Gol
عبدالمهدي,Abdolmehdi
عبدالرحيم,Abdolrahim
عبدالرحمان,Abdolrahman
عبدالرسول,Abdolrasul
بطن,ventricle
شکم,stomach
وريدهي شکمي,abdominal
بطني,ventricular
ماهيان بطني,abdominal
شکمي,ventral
شکم گنده,stomachy
ربودن,stele
ربودهشده,stolen
